# label,index_bend,index_tip_dist,middle_bend,middle_tip_dist,ring_bend,ring_tip_dist,pinky_bend,pinky_tip_dist
D,0.8686,0.9892,0.9751,0.8797,0.9726,0.6845,0.8867,1.0499
D,0.8485,1.3513,0.9596,0.8128,0.9354,0.8603,0.8699,1.2160
D,0.7765,1.3085,0.8685,0.7339,0.9714,0.7546,0.8817,0.9898
D,0.8575,1.2758,0.8524,0.8048,0.9908,0.7646,0.8527,0.6748
D,0.8162,1.6938,0.8327,1.1225,0.9669,1.3518,0.9465,1.2914
D,0.8151,1.5574,0.8617,1.1273,0.9455,1.2707,0.9128,1.1410
D,0.8121,0.9128,0.8184,0.5447,0.9875,0.4866,0.9536,0.4836
D,0.3075,0.8528,0.4900,0.6119,0.9906,0.2703,0.9179,0.2293
D,0.2840,0.8431,0.4914,0.5990,0.9976,0.2548,0.9664,0.2367
D,0.4359,0.8003,0.6538,0.5762,0.9779,0.2614,0.9552,0.2784
D,0.4955,0.8120,0.6663,0.5975,0.9928,0.2772,0.9678,0.2819
D,0.5281,0.8520,0.7034,0.6358,0.9820,0.3375,0.9708,0.2605
D,0.6574,0.8384,0.7558,0.6051,0.9611,0.3264,0.9948,0.2051
D,0.6812,0.8298,0.7776,0.6080,0.9539,0.3349,0.9860,0.1967
E,0.7199,0.9649,0.8614,0.7114,0.9342,0.5389,0.9834,0.4178
E,0.7475,0.9220,0.8531,0.6523,0.9297,0.4585,0.9961,0.3227
E,0.7540,0.9297,0.9024,0.7074,0.9656,0.4900,0.9870,0.3099
E,0.7724,0.9834,0.9271,0.8619,0.9892,0.7606,0.9824,0.3573
E,0.7647,0.9971,0.8859,0.8595,0.9500,0.7150,0.9884,0.3947
E,0.7722,1.1375,0.8645,0.9916,0.9134,0.8126,0.9904,0.4799
E,0.7641,1.0801,0.8820,0.9744,0.9125,0.7434,0.9947,0.5364
E,0.7943,1.1851,0.8920,1.0450,0.9342,0.8154,0.9980,0.6034
E,0.8079,1.1084,0.8786,0.9346,0.9131,0.7370,0.9659,0.5256
E,0.7743,1.0144,0.8446,0.7578,0.9125,0.5871,0.9582,0.6276
E,0.7751,0.9495,0.8534,0.6694,0.9183,0.5282,0.9211,0.6056
E,0.7731,0.9834,0.8541,0.7268,0.9338,0.5790,0.9505,0.5998
E,0.7489,1.1748,0.8313,0.9286,0.9014,0.7454,0.9654,0.7931
E,0.7496,1.1641,0.8254,0.9143,0.9035,0.7264,0.9560,0.6983
E,0.7449,1.0087,0.9008,0.8724,0.9616,0.7097,0.9768,0.4824
E,0.7500,1.1722,0.9121,1.1165,0.9787,0.9567,0.9546,0.6425
E,0.7321,1.0784,0.8915,0.9923,0.9866,0.8207,0.9380,0.6208
E,0.7500,1.0750,0.8960,0.9570,0.9658,0.7572,0.9270,0.5768
E,0.7493,1.1391,0.9058,1.0736,0.9806,0.8630,0.9266,0.6477
E,0.7885,1.3936,0.8922,1.2915,0.9699,1.0689,0.9028,0.8142
E,0.7712,1.3162,0.8723,1.1801,0.9503,0.9864,0.9312,0.7352
E,0.7802,1.3408,0.8812,1.2476,0.9673,1.0600,0.9310,0.6955
E,0.7494,1.1501,0.8892,1.0269,0.9539,0.8807,0.9335,0.4442
E,0.7596,1.1612,0.8600,1.0233,0.9502,0.8384,0.9531,0.5120
E,0.7624,1.2245,0.8423,1.0280,0.9248,0.8470,0.9569,0.5589
E,0.7504,1.2058,0.8392,1.0184,0.9248,0.8470,0.9521,0.5295
E,0.7651,1.2371,0.8555,1.0587,0.9325,0.8932,0.9427,0.5647
E,0.7651,1.0994,0.8565,0.9004,0.9400,0.7218,0.9331,0.4695
E,0.7705,1.1091,0.8794,0.9524,0.9555,0.7692,0.9371,0.4556
E,0.7608,1.1868,0.8498,0.9994,0.9193,0.8369,0.9640,0.5260
E,0.7691,1.1795,0.8615,1.0255,0.9240,0.7929,0.9816,0.5481
F,0.9503,3.2633,0.8292,2.4522,0.9687,2.6066,0.9781,2.5986
F,0.9584,3.8274,0.8802,2.7924,0.9914,3.1375,0.9114,3.0336
F,0.9750,3.6874,0.9292,2.7298,0.9744,3.0505,0.9134,3.0057
F,0.9463,3.2479,0.8519,2.4997,0.9968,2.6837,0.9523,2.6940
F,0.9529,2.9046,0.8874,2.2661,0.9950,2.4193,0.9282,2.3611
F,0.9786,3.2945,0.9325,2.4362,0.9590,2.6934,0.9004,2.6263
F,0.9823,5.6147,0.9950,3.9528,0.9318,4.6349,0.9301,4.6586
F,0.9768,4.8766,0.9983,3.6303,0.9261,4.1697,0.9001,4.0300
F,0.9583,4.3552,0.9273,3.2040,0.9526,3.6810,0.9132,3.5505
F,0.9695,4.4580,0.9487,3.2771,0.9487,3.6976,0.9067,3.5238
F,0.9519,4.2625,0.8995,3.2239,0.9904,3.5567,0.9266,3.3958
F,0.9643,4.3513,0.9114,3.2623,0.9755,3.7701,0.9519,3.5706
F,0.9462,4.4453,0.8906,3.3558,0.9803,3.8633,0.9524,3.7046
F,0.9436,3.9894,0.8751,3.0703,0.9907,3.4041,0.9803,3.2161
